ENTITY_ID;NAME;TYPE;SITE;CANTON;MAX_WATER_VOLUME_M3_S;MAX_POWER_MW;START_OF_OPERATION_FIRST;START_OF_OPERATION_LAST;LATITUDE;LONGITUDE;STATUS;WATERBODIES;IMAGE_URL
203650;Lauenen (Louibach);L;Lauenen bei Gstaad;BE;3.5;0.9;2014;-1;46.42415219;7.31830836;im Normalbetrieb;Louibach;
203700;Gsteig;L;Gsteig b.Gstaad;BE;2.0;0.72;1948;2015;46.38522744;7.26860759;im Normalbetrieb;Reuschbach;
203750;Gérignoz - La Pontia;L;Château d'Oex, Gérignoz;VD;0.19;0.45;1996;1996;46.47327288;7.16521029;im Normalbetrieb;Sources privées;
203800;Montbovon;L;Montbovon;FR;40.0;28.5;1896;1972;46.48795425;7.04831145;im Normalbetrieb;La Sarine, Lac du Vernex;
203900;Lessoc;L;Lessoc;FR;41.0;8.0;1973;1973;46.50605254;7.05326214;im Normalbetrieb;La Sarine;
203950;Sainte - Anne;L;Grandvillard;FR;1.12;2.9;1999;1999;46.53513111;7.08798988;im Normalbetrieb;Ruisseau des Marais, Torrent de Plan Rion;
204000;Jaun;L;Jaun;FR;2.4;0.36;1982;1982;46.60849999;7.26934154;im Normalbetrieb;Jaunbach;
204050;Charmey (La Tzintre);L;Charmey, La Tzintre;FR;10.0;0.86;2012;-1;46.61183337;7.17691083;im Normalbetrieb;La Jogne;
204100;Charmey (La Perré);L;Charmey, Le Perré;FR;12.0;4.5;1893;1982;46.61458618;7.1617544;im Normalbetrieb;La Jogne;
204200;Broc;L;Broc;FR;26.0;23.5;1921;1988;46.60985882;7.10930441;im Normalbetrieb;La Jogne, Montsalvens (B.d'accumulation);
204300;Am.de dotation d'Hauterive 1;L;Rossens;FR;1.0;0.67;1976;1976;46.71790507;7.11243819;im Normalbetrieb;La Sarine, Lac de la Gruyère;
204350;Am. de dotation d'Hauterive 2;L;Rossens;FR;2.5;1.6;2005;2005;46.71790507;7.11243819;im Normalbetrieb;La Sarine, Lac de la Gruyère;
204400;Hauterive;S;Hauterive;FR;75.0;57.5;1902;1948;46.76895201;7.12757772;im Normalbetrieb;La Sarine, Lac de la Gruyère;
204500;Am.de dotation d'Oelberg;L;Fribourg, Maigrauge;FR;4.0;0.55;1870;1952;46.79873504;7.16591695;im Normalbetrieb;La Sarine;
204600;Oelberg;S;Fribourg, Oelberg;FR;99.0;16.9;1910;1980;46.80170694;7.16734288;im Normalbetrieb;La Sarine;
204650;Berner Green Power GmbH;L;Weissenburg_Del;BE;0.9;0.36;1898;1999;46.66691411;7.46411781;stillgelegt;Buuschebach;
204700;Schiffenen;S;Schiffenen;FR;135.0;52.0;1964;1964;46.88272614;7.19422286;im Normalbetrieb;La Sarine, Lac de Schiffenen;
205200;La Dernier;S;La Dernier;VD;13.0;27.0;1903;1988;46.70211213;6.34993722;im Normalbetrieb;Lac Brenet, Lac de Joux;
205300;La Jougnenaz;L;Vallorbe;VD;6.0;2.1;1955;1970;46.72323944;6.39660546;im Normalbetrieb;La Jougnenaz;
205400;Les Clées;L;Les Clées;VD;21.0;27.0;1955;1955;46.73113786;6.44499315;im Normalbetrieb;Lac Brenet, Lac de Joux, L'Orbe;
205500;Montcherand;L;Montcherand;VD;19.0;14.0;1908;1950;46.72721555;6.51348711;im Normalbetrieb;Lac Brenet, Lac de Joux, L'Orbe;
